Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,AirTemp,TGBT,T1,T2,T3,T4,T5,T6,T7
2016-07-15 00:00:00+00:00,-1.03,-0.53,-1.38,12.41,9.37,0.99,2.12,0.19,1.50,1.41,0.26,2.64
2016-07-15 01:00:00+00:00,-1.05,-0.44,-1.36,12.12,9.78,0.99,2.17,0.17,1.69,1.57,0.54,2.36
2016-07-15 02:00:00+00:00,-1.05,-0.46,-1.34,11.54,10.95,1.13,2.31,0.34,1.66,1.68,0.33,3.18
2016-07-15 03:00:00+00:00,-0.48,-0.41,-0.75,11.28,13.73,1.31,2.40,0.89,1.64,1.78,0.54,4.81
2016-07-15 04:00:00+00:00,32.49,127.50,16.05,10.77,14.24,1.17,2.29,0.27,2.10,2.10,0.76,5.25
2016-07-15 05:00:00+00:00,167.41,507.76,45.35,11.84,20.22,1.49,2.77,0.24,2.94,3.85,2.12,6.45
2016-07-15 06:00:00+00:00,318.57,686.96,67.10,13.58,16.99,1.44,2.60,0.24,3.00,3.33,1.20,4.86
2016-07-15 07:00:00+00:00,491.44,783.68,86.85,15.78,15.69,1.11,2.65,0.89,2.60,2.63,0.45,5.04
2016-07-15 08:00:00+00:00,656.16,820.75,122.12,17.94,14.08,1.06,1.66,0.96,2.44,2.00,0.46,5.29
2016-07-15 09:00:00+00:00,655.95,592.23,205.75,18.81,15.60,1.11,1.57,1.42,2.91,1.89,1.30,5.17
2016-07-15 10:00:00+00:00,591.76,414.64,241.21,19.40,14.10,1.06,1.54,1.49,2.91,1.35,1.15,4.41
2016-07-15 11:00:00+00:00,871.42,724.29,229.26,20.29,14.53,1.24,1.51,1.52,3.06,1.16,1.30,4.54
2016-07-15 12:00:00+00:00,660.65,450.00,264.38,20.77,15.02,1.24,1.55,1.54,2.39,1.82,0.62,5.66
2016-07-15 13:00:00+00:00,632.41,391.68,297.65,21.59,16.21,1.24,1.61,1.57,2.72,2.13,0.63,6.07
2016-07-15 14:00:00+00:00,456.27,277.52,242.92,21.43,16.05,1.25,1.54,1.49,2.18,1.51,1.37,6.45
2016-07-15 15:00:00+00:00,532.07,515.94,192.61,22.34,18.05,2.79,2.26,1.28,1.62,1.52,1.00,7.27
2016-07-15 16:00:00+00:00,363.84,344.44,188.05,22.17,16.75,1.84,1.94,0.96,1.65,1.45,1.35,7.26
2016-07-15 17:00:00+00:00,294.00,492.72,117.33,22.45,14.63,1.82,1.33,0.92,1.29,1.41,0.83,6.81
2016-07-15 18:00:00+00:00,127.16,303.03,68.42,21.91,12.84,1.72,1.74,1.28,1.26,0.64,0.55,5.39
2016-07-15 19:00:00+00:00,15.96,6.62,15.73,20.46,11.07,1.13,1.41,1.16,1.42,0.47,1.15,4.09
2016-07-15 20:00:00+00:00,-0.96,-0.47,-1.23,18.91,8.73,0.77,1.31,1.15,1.23,0.54,1.03,2.47
2016-07-15 21:00:00+00:00,-1.17,-0.45,-1.35,17.49,9.19,0.76,1.40,1.09,1.27,0.76,1.06,2.62
2016-07-15 22:00:00+00:00,-0.99,-0.38,-1.17,16.77,9.68,0.82,1.48,1.08,1.33,0.75,1.00,2.96
2016-07-15 23:00:00+00:00,-1.02,-0.38,-1.19,15.82,10.46,0.87,1.93,1.06,1.47,0.97,1.44,2.43
2016-07-16 00:00:00+00:00,-0.94,-0.45,-1.20,15.27,10.56,0.87,1.71,1.11,1.47,1.08,1.37,2.66
2016-07-16 01:00:00+00:00,-0.63,-0.39,-1.02,14.86,10.70,0.93,1.83,1.15,1.61,1.17,1.19,2.52
2016-07-16 02:00:00+00:00,-0.15,-0.20,-0.58,14.75,10.00,0.93,1.91,0.51,1.62,1.29,0.99,2.48
2016-07-16 03:00:00+00:00,0.15,-0.10,-0.14,15.06,9.50,0.98,1.76,0.23,1.60,1.18,0.78,2.70
2016-07-16 04:00:00+00:00,12.64,-0.04,12.50,15.13,9.04,0.94,1.78,0.20,1.70,1.31,0.40,2.44
2016-07-16 05:00:00+00:00,49.25,0.22,49.28,15.40,11.54,1.16,2.04,0.21,2.08,2.43,0.23,3.09
2016-07-16 06:00:00+00:00,129.73,1.07,130.09,15.60,11.73,1.16,2.00,0.32,1.97,2.33,0.72,2.93
2016-07-16 07:00:00+00:00,306.75,28.36,291.67,17.12,11.94,1.05,2.12,0.25,2.03,1.89,1.41,2.90
2016-07-16 08:00:00+00:00,440.67,54.98,404.49,18.25,9.93,0.94,1.49,0.20,1.62,1.37,1.55,2.51
2016-07-16 09:00:00+00:00,425.79,8.16,418.08,19.04,9.35,0.89,1.44,0.20,1.55,1.25,1.00,2.79
2016-07-16 10:00:00+00:00,802.86,445.32,418.89,20.69,9.92,0.89,1.42,0.25,1.54,1.10,1.41,3.06
2016-07-16 11:00:00+00:00,740.39,450.26,339.23,22.20,8.87,0.90,1.46,0.24,1.55,1.38,0.25,2.86
2016-07-16 12:00:00+00:00,637.57,307.67,364.84,23.25,9.94,0.90,1.46,0.33,1.55,1.35,1.04,3.09
2016-07-16 13:00:00+00:00,528.90,223.89,339.16,23.87,10.00,0.89,1.45,0.28,1.53,1.02,1.28,3.30
2016-07-16 14:00:00+00:00,564.54,209.85,412.58,24.71,8.32,0.71,1.23,0.21,1.21,0.45,1.20,3.11
2016-07-16 15:00:00+00:00,693.68,519.48,364.72,25.49,8.68,0.71,1.56,0.28,1.21,0.45,1.19,3.03
2016-07-16 16:00:00+00:00,356.12,138.03,280.26,25.15,7.77,0.72,1.24,0.24,1.21,0.50,0.57,3.08
2016-07-16 17:00:00+00:00,249.65,303.51,154.48,25.09,7.21,0.71,1.22,0.21,1.21,0.50,0.25,2.92
2016-07-16 18:00:00+00:00,123.16,312.37,65.87,24.80,6.91,0.71,1.22,0.31,1.19,0.42,0.14,2.74
2016-07-16 19:00:00+00:00,12.33,20.90,11.66,23.80,7.02,0.69,1.20,0.21,1.41,0.41,0.14,2.78
2016-07-16 20:00:00+00:00,-0.94,-0.32,-0.85,22.47,6.93,0.70,1.19,0.22,1.19,0.42,0.14,2.91
2016-07-16 21:00:00+00:00,-1.23,-0.44,-1.33,21.06,7.72,0.86,1.23,0.35,1.23,0.45,0.24,3.19
2016-07-16 22:00:00+00:00,-1.12,-0.44,-1.28,20.31,6.70,0.70,1.18,0.21,1.20,0.42,0.14,2.69
2016-07-16 23:00:00+00:00,-0.64,-0.27,-0.88,19.80,7.01,0.71,1.17,0.20,1.23,0.43,0.42,2.68
2016-07-17 00:00:00+00:00,-1.02,-0.43,-1.22,19.14,7.20,0.71,1.22,0.31,1.21,0.44,0.14,3.03
2016-07-17 01:00:00+00:00,-0.92,-0.43,-1.24,18.64,6.96,0.71,1.55,0.21,1.20,0.42,0.14,2.54
2016-07-17 02:00:00+00:00,-0.97,-0.42,-1.14,17.41,7.01,0.71,1.36,0.21,1.21,0.44,0.14,2.77
2016-07-17 03:00:00+00:00,-0.55,-0.39,-0.75,16.76,6.94,0.71,1.40,0.21,1.19,0.55,0.14,2.55
2016-07-17 04:00:00+00:00,27.44,136.23,13.62,16.68,7.46,0.71,1.50,0.21,1.21,0.66,0.14,2.81
2016-07-17 05:00:00+00:00,152.38,570.13,34.21,17.73,8.36,0.88,1.54,0.22,1.54,1.38,0.14,2.46
2016-07-17 06:00:00+00:00,313.35,743.91,45.71,19.06,8.82,0.89,1.48,0.31,1.55,1.13,0.48,2.78
2016-07-17 07:00:00+00:00,480.28,838.73,52.09,20.67,8.13,0.89,1.40,0.20,1.54,1.02,0.17,2.72
2016-07-17 08:00:00+00:00,633.68,889.44,57.58,21.88,8.33,0.89,1.47,0.21,1.77,1.03,0.14,2.63
